,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,3,0,9,0,6,5,3,1,5,2,1,0,1,10960080.23,311598930.2,893000000,225.7918505,0.002754216
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,1,8,0,0,0,4,0,6,1,6,0,2,0,3,46508753.5,327685367,61400000,944.8310247,0.011323681
2,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,5,6,0,2,7,5,6,2,1,5,2,2,0,369289762.5,473000000,0,0
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,4,0,7,1,7,6,7,1,10,5,2,7,8,6,0,653067395.1,30700000,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,2,3,6,1,4,0,8,5,0,6,297403049.3,365837941.7,0,1480.187714,0.056307936
5,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,4,1,0,0,4,3,7,1,0,0,7,3,4,5,0,3,0,364937604.8,765700000,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,6,5,1,2,3,2,1,0,0,7,5,0,2,30326977.44,458281423.5,0,1383.992327,0.002560603
7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4,1,1,0,0,1,6,2,5,0,1,4,0,2,0,79240118.28,302290277.3,151900000,4067.838433,0.006415376
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,4,5,1,7,1,5,5,1,6,297403049.3,312430948.2,121200000,1480.187714,0.056307936
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,5,6,8,4,1,7,8,6,6,5,0,1,0,650488396.9,84600000,0,0
10,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,2,7,0,4,2,0,5,7,3,1,1,2,1,2769259.672,346097739.1,388400000,104.9980769,0.000286289
11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,0,3,2,1,6,7,7,8,5,5,8,121805741,467074671.9,30700000,0,0.065322459
12,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,3,0,0,0,3,0,2,2,2,6,5,2,2,2,0,2,23301946.78,263086100.7,741100000,1091.992496,0.001938985
13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,3,2,2,6,6,4,6,5,1,5,3,32258756.73,434874764.6,84600000,0,0.023019802
14,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,2,0,5,0,2,0,3,2,4,1,6,1,1,5,2,2,2568989.846,355705718.2,648100000,83.57312531,0.000281506
15,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,2,0,0,3,0,0,7,6,5,2,1,2,2,1,0,6,27397218.11,303016985.8,862300000,901.9006728,0.002888606
16,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,5,2,6,5,6,6,0,6,4,1,7,13662412.13,364408360,176700000,559.1982831,0.001149368
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,4,4,1,3,6,4,3,10,0,6,2,0,17729284.7,465571645.9,30700000,227.5485336,0.001148495
18,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,2,3,0,0,0,3,0,6,5,0,7,6,5,5,6,4,13698609.06,336700738.4,777700000,450.9503364,0.001444303
19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,7,0,0,7,0,0,5,6,1,4,1,2,2,0,6,23301946.78,333021796.3,121200000,1091.992496,0.001938985
20,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,7,0,0,3,3,5,6,1,1,5,1,5,2467618.287,331682251.1,800900000,0,0.003400737
21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,3,0,2,0,2,5,5,1,5,1,7,5,0,2,27576124.58,361608281.8,151900000,503.7199486,0.002512186
22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,6,0,3,5,6,3,5,1,3,5,0,6,0,371433588.3,115300000,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,9,2,6,1,7,6,6,1,1,2,5,9,7,15570505.29,692541589.4,0,338.507105,0.003205436
24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,7,7,0,1,2,1,9,4,6,2,5,6,7,9383669.753,547466593.1,30700000,0,0.012828477
25,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,3,0,4,3,0,7,1,5,5,1,1,4817067.817,308164252.3,1201300000,95.06207352,0.001238337
26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,1,5,1,0,5,7,1,1,6,7,5,0,5,41151768.52,388262551,61400000,736.7753184,0.002578156
27,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,10,0,6,2,0,2,7,3,1,1,6,30951602.24,318764703.2,321100000,646.5279873,0.007831166
28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,6,0,4,0,0,3,6,2,6,3,7,30777071.56,315919591.1,205800000,1010.739807,0.003270852
29,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,0,5,0,3,5,1,2,0,5,6,1,3,14153631.24,307748404.7,741100000,281.616901,0.003560902
