,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage 0,Total Investment Costs 0,Expected Number of Deaths 0,Expected Annual Damage 1,Total Investment Costs 1,Expected Number of Deaths 1,Expected Annual Damage 2,Total Investment Costs 2,Expected Number of Deaths 2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,0,0,8,0,0,0,5,0,7,0,0,214616.32969174313,205047490.31048295,0.00010953682201201851,199145.57761064268,41768793.78568316,0.00010953682201201851,214616.32969174313,22.099428707082595,0.00010953682201201851
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,9,0,0,9,0,1,0,0,0,8,0,0,0.0,257612707.23078126,0.0,0.0,0.0,0.0,0.0,27467013.98306254,0.0
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,8,0,0,8,0,0,0,2,0,7,0,0,214616.32969174313,195450881.4392058,0.00013692102751502316,199145.57761064268,122632098.00788769,0.00013692102751502316,214616.32969174313,17.788365910057014,0.00013692102751502316
3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,8,3,0,0,0,0,7,0,0,214616.32969174313,162755984.65610668,0.00010953682201201851,0.0,146960546.82806453,0.0,0.0,84600000.0,0.0
4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,8,0,2,0,2,0,7,0,0,214616.32969174313,195450863.6508399,0.0009128068501001544,199145.57761064268,122632080.21952178,0.0009128068501001544,0.0,29004227.825959537,0.0
5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,8,0,0,8,2,0,0,7,0,7,0,0,0.0,195450863.6508399,0.0,0.0,279765879.6074588,0.0,0.0,0.0,0.0
6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,7,0,0,0.0,166079976.0266957,0.0,0.0,115300000.0,0.0,0.0,84600000.0,0.0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,9,0,1,0,0,0,8,0,0,218574.4328488072,221356264.9237033,0.0009429414523325469,202818.35843113382,0.0,0.0009429414523325469,0.0,27467013.98306254,0.0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,0,0,8,0,2,0,2,0,7,0,0,214616.32969174313,205047468.21105424,0.0009128068501001544,199145.57761064268,38032080.219521776,0.0009128068501001544,0.0,29004227.825959537,0.0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,9,0,0,9,0,0,0,0,0,8,0,0,218574.4328488072,226912725.07329765,0.00014144121784988206,202818.35843113382,17.842516377709142,0.00014144121784988206,218574.4328488072,17.842516377709142,0.00014144121784988206
10,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1,0,0,8,0,0,8,0,0,0,0,0,6,0,0,0.0,191531022.48942426,0.0,0.0,236500000.0,0.0,0.0,30700000.0,0.0
11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,8,0,0,8,1,0,0,4,0,7,0,0,214616.32969174313,195450885.7502686,0.00010953682201201851,0.0,66954650.053076506,0.0,0.0,84600000.0,0.0
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,0,0,8,0,1,0,7,0,7,0,0,214616.32969174313,205047490.31048295,0.00010953682201201851,199145.57761064268,44961673.88092796,0.00010953682201201851,0.0,26559454.690911457,0.0
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,0,0,8,0,2,0,4,0,7,0,0,214616.32969174313,205047490.31048295,0.00010953682201201851,199145.57761064268,40395217.461593755,0.00010953682201201851,0.0,29004227.825959537,0.0
14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,8,0,0,8,0,0,0,0,0,7,0,0,214616.32969174313,195450885.7502686,0.00010953682201201851,199145.57761064268,22.099428707082595,0.00010953682201201851,214616.32969174313,115300022.09942871,0.00010953682201201851
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,8,0,0,8,0,0,0,1,0,7,0,0,214616.32969174313,205047478.92592877,0.00032861046603605557,199145.57761064268,37020811.024540775,0.00032861046603605557,214616.32969174313,10.714874524646108,0.00032861046603605557
16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,8,0,0,8,0,0,0,0,0,7,0,0,214616.32969174313,205047490.31048295,0.00010953682201201851,199145.57761064268,22.099428707082595,0.00010953682201201851,214616.32969174313,30700022.099428706,0.00010953682201201851
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,0,0,9,0,0,0,0,0,7,0,0,0.0,208371481.68107197,0.0,0.0,30700000.0,0.0,0.0,0.0,0.0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,9,0,0,0,0,0,7,0,0,218574.4328488072,217086076.77165115,0.0009429414523325469,202818.35843113382,0.0,0.0009429414523325469,218574.4328488072,0.0,0.0009429414523325469
19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,8,0,0,8,0,0,0,5,1,7,0,0,214616.32969174313,247428490.84306425,0.00010953682201201851,199145.57761064268,11068793.785683168,0.00010953682201201851,214616.32969174313,7477128.194326924,0.00010953682201201851
20,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,8,0,0,8,0,0,0,0,0,6,0,5,0.0,158836121.3952623,0.0,0.0,423600000.0,0.0,0.0,75568725.59107727,0.0
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,8,0,0,9,0,0,0,0,1,7,0,0,0.0,198774877.12085763,0.0,0.0,84600000.0,0.0,0.0,37020800.309666246,0.0
22,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0,8,0,0,0,4,0,7,0,0,214616.32969174313,162755973.2715525,0.00032861046603605557,199145.57761064268,312095206.07703954,0.00032861046603605557,214616.32969174313,30700010.714874525,0.00032861046603605557
23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,8,0,0,8,0,1,0,1,0,7,0,0,214616.32969174313,195450881.4392058,0.00013692102751502316,199145.57761064268,90920818.09803216,0.00013692102751502316,0.0,57259454.69091146,0.0
24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,8,0,0,9,0,0,0,5,0,7,0,0,0.0,329571481.681072,0.0,0.0,11068771.68625446,0.0,0.0,0.0,0.0
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,0,0,8,0,0,0,0,5,7,0,0,214616.32969174313,205047490.31048295,0.00010953682201201851,199145.57761064268,30700022.099428706,0.00010953682201201851,214616.32969174313,11068793.785683168,0.00010953682201201851
26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,8,0,0,9,1,0,0,3,1,7,0,0,0.0,198774877.12085763,0.0,0.0,151220421.67967057,0.0,0.0,6991155.368928562,0.0
27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,8,0,0,8,1,0,0,0,3,7,0,1,214616.32969174313,205047485.99942014,0.00013692102751502316,0.0,26559454.690911457,0.0,0.0,70829533.93061838,0.0
28,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,8,0,0,8,1,0,0,0,0,7,0,0,214616.32969174313,162755980.34504387,0.00013692102751502316,0.0,111159454.69091146,0.0,0.0,157591505.6543763,0.0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,9,0,0,9,0,0,0,4,0,7,0,0,218574.4328488072,217086087.51914337,0.0003394589228397169,202818.35843113382,9695206.109657269,0.0003394589228397169,218574.4328488072,10.74749221810245,0.0003394589228397169
30,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,0,8,0,0,0,0,3,7,0,0,214616.32969174313,162755984.65610668,0.00010953682201201851,199145.57761064268,22.099428707082595,0.00010953682201201851,214616.32969174313,341553429.7960368,0.00010953682201201851
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,8,0,0,8,1,0,0,3,3,7,5,0,214616.32969174313,195450885.7502686,0.00010953682201201851,0.0,196714790.7235723,0.0,0.0,9349937.303588698,0.0
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,0,0,8,1,0,0,2,0,7,0,0,214616.32969174313,205047490.31048295,0.00010953682201201851,0.0,64591534.91043323,0.0,0.0,0.0,0.0
33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,8,0,0,8,0,0,0,1,0,7,0,0,214616.32969174313,195450885.7502686,0.00010953682201201851,199145.57761064268,90920822.40909496,0.00010953682201201851,214616.32969174313,30700022.099428706,0.00010953682201201851
34,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,8,0,0,7,0,0,0,0,0,7,0,0,0.0,192387387.48860303,0.0,0.0,30700000.0,0.0,0.0,115300000.0,0.0
35,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,8,0,0,7,0,0,0,0,0,7,0,0,0.0,159692486.39444107,0.0,0.0,333100000.0,0.0,0.0,30700000.0,0.0
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,1,0,9,0,0,0,3,0,7,0,0,0.0,198774877.12085763,0.0,0.0,173793074.22456753,0.0,0.0,0.0,0.0
37,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,7,0,2,7,0,0,214616.32969174313,177017614.3381772,0.0009128068501001544,199145.57761064268,302400000.0,0.0009128068501001544,214616.32969174313,39976267.63073925,0.0009128068501001544
38,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,8,0,0,0,2,0,7,0,0,214616.32969174313,162755984.65610668,0.00010953682201201851,199145.57761064268,122632102.31895049,0.00010953682201201851,214616.32969174313,84600022.09942871,0.00010953682201201851
39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,8,0,0,8,0,0,0,1,4,7,0,0,214616.32969174313,205047490.31048295,0.00010953682201201851,199145.57761064268,37020822.40909495,0.00010953682201201851,214616.32969174313,10026510.58272715,0.00010953682201201851
40,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,8,0,0,8,3,0,0,3,4,7,0,0,214616.32969174313,162755988.3393448,0.00010953682201201851,0.0,70813954.5246726,0.0,0.0,313123423.26736003,0.0
41,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,8,0,0,9,0,0,0,0,0,7,0,0,0.0,198774877.12085763,0.0,0.0,0.0,0.0,0.0,115300000.0,0.0
42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,8,0,0,8,0,0,0,0,0,7,0,0,214616.32969174313,195450885.7502686,0.00010953682201201851,199145.57761064268,30700022.099428706,0.00010953682201201851,214616.32969174313,84600022.09942871,0.00010953682201201851
43,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,7,8,0,2,8,0,2,0,5,4,6,0,5,0.0,158836121.3952623,0.0,0.0,95668771.68625446,0.0,0.0,446004091.9270029,0.0
44,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,0,8,0,1,0,0,0,7,0,0,214616.32969174313,162755984.65610668,0.00010953682201201851,199145.57761064268,84600022.09942871,0.00010953682201201851,0.0,141859454.69091147,0.0
45,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,0,8,1,2,0,0,0,7,0,2,214616.32969174313,162755984.65610668,0.00010953682201201851,0.0,26559454.690911457,0.0,0.0,397986249.5069109,0.0
46,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,8,0,0,0,1,0,7,0,0,214616.32969174313,162755973.2715525,0.00032861046603605557,199145.57761064268,121620811.02454077,0.00032861046603605557,214616.32969174313,84600010.71487452,0.00032861046603605557
47,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0,0,8,0,0,0,0,0,7,0,0,214616.32969174313,162755980.34504387,0.00013692102751502316,199145.57761064268,17.788365910057014,0.00013692102751502316,214616.32969174313,333100017.7883659,0.00013692102751502316
48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,8,0,0,8,3,0,0,2,0,8,0,0,214616.32969174313,199721069.59125796,0.00013692102751502316,0.0,154292627.04758632,0.0,0.0,0.0,0.0
