,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage 0,Total Investment Costs 0,Expected Number of Deaths 0,Expected Annual Damage 1,Total Investment Costs 1,Expected Number of Deaths 1,Expected Annual Damage 2,Total Investment Costs 2,Expected Number of Deaths 2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,58840144.550849974,0.0,0.0,84600000.0,0.0,0.0,30700000.0,0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,1244667.1333522336,115300209.13239077,0.00020517302964592806
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,89774756.61067659,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,1244667.1333522336,30700209.13239077,0.00020517302964592806
3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,121200000.0,0.0,0.0,115300000.0,0.0
4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,0.0,121620800.30966625,0.0
5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0,49746048.166458994,0.0,0.0,84600000.0,0.0,0.0,151900000.0,0.0
6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,58840144.550849974,0.0,0.0,115300000.0,0.0,0.0,0.0,0.0
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0.0,96095347.78795207,0.0,0.0,0.0,0.0,0.0,30700000.0,0.0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,120474756.61067659,0.00020517302964592806,1157814.8345713725,209.1323907718898,0.00020517302964592806,1244667.1333522336,209.1323907718898,0.00020517302964592806
9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1079618.1077759694,52519553.37357451,0.00020517302964592806,1157814.8345713725,84600209.13239077,0.00020517302964592806,1244667.1333522336,30700209.13239077,0.00020517302964592806
