,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage 0,Total Investment Costs 0,Expected Number of Deaths 0,Expected Annual Damage 1,Total Investment Costs 1,Expected Number of Deaths 1,Expected Annual Damage 2,Total Investment Costs 2,Expected Number of Deaths 2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,6,4,1,2,2,4,5,0,6,228244.34309352335,186364993.23796642,0.00013442154143839696,0.0,40142528.968835644,0.0,0.0,87136638.6765224,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,0,0,2,0,1,4,3,1,2,3,4,4,0,0,228244.34309352335,178070037.91234556,4.4807180479465655e-05,0.0,67419924.55483045,0.0,0.0,78054200.17348161,0.0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,0,3,2,0,5,1,2,5,1,0,3,2,0,0.0,216900397.37839547,0.0,0.0,150716806.38038552,0.0,0.0,27119190.300835833,0.0
3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,6,1,0,0,0,0,2,2,2,3,4,1,4,0,0,734246.9942158257,155415711.93482706,0.0007177702310384207,846496.6406924576,189729756.2754401,0.0007177702310384207,787428.4953350672,64053556.37664726,0.0007177702310384207
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,5,4,2,2,2,4,4,0,0,228244.34309352335,166298515.7657832,0.00037339317066221377,0.0,39075252.71863032,0.0,0.0,125685178.9237918,0.0
5,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,3,5,0,0,0,2,0,3,1,3,1,7,2,5,3,0,3172121.596128494,121168634.20142077,0.0006698801644506731,0.0,146623468.51188433,0.0,0.0,273772171.54359823,0.0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,2,5,4,3,5,2,3,5,0,0,0.0,187501263.28470767,0.0,0.0,39906910.42930268,0.0,0.0,89232039.37969133,0.0
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,5,5,3,5,5,5,4,0,0,0.0,170035207.2325159,0.0,0.0,47160333.55634449,0.0,0.0,133950215.31012943,0.0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,5,4,2,2,1,3,4,0,4,228244.34309352335,180465012.5348776,0.00037339317066221377,0.0,37993679.39081744,0.0,0.0,77523688.13913837,0.0
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,5,0,0,5,5,0,2,0,1,2,0,0,2091398.9875186281,177091623.59930032,0.0008099554333352396,2411126.2711710106,118666985.45758966,0.0008099554333352396,1998102.9133160615,6760427.66502092,0.0007539464577359075
10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,2,2,0,0,2,1,2,2,2,2,2,0,2,2079074.4571287385,153869356.5188266,0.0008051885461257967,2147988.565184117,29552279.084335104,0.0007539464577359075,0.0,664971356.0326287,0.0
11,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,3,5,0,1,0,1,4,2,0,2,0,6,9,2,4,0,3172121.596128494,103719173.76655765,0.0006698801644506731,0.0,117228718.473469,0.0,0.0,376263282.1893759,0.0
12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,5,1,0,1,0,0,2,4,1,3,1,4,3,0,5,0.0,153190380.07651344,0.0,0.0,104605812.37540646,0.0,0.0,191789594.9158146,0.0
13,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,6,2,0,0,1,0,0,0,3,1,1,1,2,0,0,3362611.1828329028,94617085.79471734,0.0007301579650477177,2411126.2711710106,205658826.66129127,0.0006479643466681916,1998102.9133160615,61658582.61687359,0.0006031571661887259
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,2,0,0,2,5,0,1,3,6,5,0,0,2636994.143797594,176123233.29463673,0.0004902323280462972,0.0,39542423.11620831,0.0,0.0,14397023.358296823,0.0
15,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,0,0,2,0,0,0,4,1,3,7,3,3,5,0,0.0,135595855.59744343,0.0,0.0,198043992.31134826,0.0,0.0,65748528.880419776,0.0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,2,0,0,2,5,2,2,0,2,2,0,0,2091398.9875186281,168035928.61940262,0.0006479643466681916,2411126.2711710106,115400536.85139564,0.0006479643466681916,1998102.9133160615,35887943.291019015,0.0006031571661887259
17,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,0,3,0,2,0,1,2,3,2,0,7,3,0,0,744000.1531953303,111955494.98304869,0.00030701727511948343,263137.70598689356,181043761.77004263,5.600897559933208e-05,0.0,122745505.07752705,0.0
18,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,5,2,0,1,2,0,0,0,2,2,0,2,3,0,5,228244.34309352335,129901277.3663939,4.4807180479465655e-05,263137.70598689356,119052144.38425511,4.4807180479465655e-05,0.0,185875982.293138,0.0
19,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,5,0,0,1,0,0,3,0,2,1,2,2,2,2,7,2636994.143797594,150315109.68423608,0.0006127904100578717,0.0,67777798.71987042,0.0,0.0,198479284.52132264,0.0
20,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,1,0,0,2,0,3,2,9,5,3,0,0,228244.34309352335,236669073.4313159,0.00013442154143839696,0.0,50105263.59001577,0.0,0.0,72598257.50406231,0.0
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,2,0,0,3,3,2,1,3,2,2,2,0,2636994.143797594,169054900.1730642,0.0006127904100578717,0.0,95701807.58562024,0.0,0.0,35505992.22681127,0.0
22,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,5,1,0,0,3,0,1,2,2,5,1,7,3,0,0,744000.1531953303,146392186.44978136,0.00030701727511948343,0.0,232221112.6581462,0.0,0.0,41965949.09839933,0.0
