,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage 0,Total Investment Costs 0,Expected Number of Deaths 0,Expected Annual Damage 1,Total Investment Costs 1,Expected Number of Deaths 1,Expected Annual Damage 2,Total Investment Costs 2,Expected Number of Deaths 2
0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,3,6,0,0,5,3,0,9,4,0,5,7,0,3,1,0,0.0,438656764.87304574,0.0,0.0,252184532.09666964,0.0,0.0,0.0,0.0
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,8,0,6,5,0,3,9,0,0,4,0,5,1,0,1,0.0,241750651.8684768,0.0,0.0,0.0,0.0,0.0,289890789.0293491,0.0
2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,8,0,1,5,0,0,9,0,1,4,0,5,0,0,1,1884422.2508003698,216713783.91120657,0.000602454644299127,2341280.1448882814,346.12890350040476,0.000602454644299127,0.0,223243039.52029443,0.0
3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,8,0,4,5,0,0,9,0,0,5,0,5,1,3,1,0.0,243124228.19256622,0.0,0.0,31388663.657263078,0.0,0.0,219636420.35933724,0.0
4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,9,0,1,5,0,0,9,0,1,4,0,5,0,0,1,886090.2280552704,443478851.65478045,0.0002871894845346445,1100913.2675249383,141.20104749511432,0.0002871894845346445,886090.2280552704,109404934.54436924,0.0002871894845346445
5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,6,0,0,5,1,0,8,0,7,7,2,2,0,1,1,1884422.2508003698,171674384.06343824,0.0007530683053739087,0.0,412655036.65234494,0.0,0.0,111289078.91343601,0.0
6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8,0,3,5,0,0,9,0,0,4,0,1,0,0,2,886090.2280552704,270613551.43844926,0.00035898685566830563,1100913.2675249383,113.65614618451437,0.00035898685566830563,886090.2280552704,120842321.15836851,0.00035898685566830563
7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,8,0,1,5,0,0,8,0,6,4,1,5,1,0,1,0.0,238426638.39845908,0.0,0.0,7230049.129805147,0.0,0.0,238146187.20481938,0.0
8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,8,0,6,5,0,3,9,0,3,4,0,5,0,1,6,1884422.2508003698,216713783.91120657,0.000602454644299127,0.0,25037214.086173728,0.0,0.0,338390304.9471141,0.0
9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0,7,0,0,10,0,1,5,0,5,2,0,1,0.0,272141833.08469164,0.0,0.0,84600000.0,0.0,0.0,68276775.39521977,0.0
10,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,2,7,0,0,5,1,0,9,0,0,4,0,6,0,3,2,0.0,177853352.61953348,0.0,0.0,312093080.97781193,0.0,0.0,160200073.77250934,0.0
11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,8,0,0,5,0,0,9,0,0,4,4,6,0,0,2,1884422.2508003698,270613716.38984853,0.0007530683053739087,2341280.1448882814,41790130.423353486,0.0007530683053739087,0.0,74746268.9981328,0.0
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0,1,5,0,0,9,0,3,4,1,0,0,0,0,886090.2280552704,204821822.10237622,0.0002871894845346445,1100913.2675249383,37930190.33085264,0.0002871894845346445,886090.2280552704,78493807.01768842,0.0002871894845346445
13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,9,0,7,5,0,2,9,0,6,4,0,5,0,0,6,886090.2280552704,194978851.6547805,0.0002871894845346445,1100913.2675249383,141.20104749511432,0.0002871894845346445,0.0,353570994.29851246,0.0
14,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,8,0,6,5,0,0,8,0,0,4,0,5,4,0,1,0.0,246766540.86948243,0.0,0.0,0.0,0.0,0.0,236041975.09842068,0.0
15,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,9,0,0,5,0,0,9,0,1,4,3,2,0,1,6,1884422.2508003698,194979056.5826365,0.000602454644299127,0.0,150006646.74761724,0.0,0.0,109093139.84268942,0.0
16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,9,0,1,5,0,0,8,0,3,3,0,1,0,0,6,506141.3519361191,221112994.58843103,0.00010891786512041719,628849.875494537,85.2702727779599,0.00010891786512041719,0.0,238464922.3922146,0.0
17,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,3,6,0,3,5,1,3,8,0,3,3,3,3,0,2,0,506141.3519361191,165865967.30677578,8.713429209633373e-05,0.0,112869722.2066759,0.0,0.0,485368547.66715807,0.0
18,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,10,0,1,5,0,0,9,0,0,4,1,0,1,0,0,0.0,345158894.98750246,0.0,0.0,37930049.12980515,0.0,0.0,45751251.01339438,0.0
19,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,8,0,3,5,0,0,9,0,0,4,0,1,0,0,1,1884422.2508003698,301313716.38984853,0.0007530683053739087,2341280.1448882814,278.607545431197,0.0007530683053739087,0.0,118301191.62074083,0.0
20,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,7,0,0,5,0,6,7,0,3,5,2,4,0,4,7,0.0,172839439.31136826,0.0,0.0,72750502.68107603,0.0,0.0,625858349.424808,0.0
21,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,5,6,0,1,8,0,1,3,0,4,0,0,2,506141.3519361191,218782637.15609393,0.0007261191008027811,628849.875494537,0.0,0.0007261191008027811,0.0,297565878.3337577,0.0
22,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4,8,0,6,5,0,3,9,0,2,4,0,5,0,1,0,886090.2280552704,186013602.5168585,0.0002871894845346445,1100913.2675249383,25037378.82072914,0.0002871894845346445,0.0,511793359.02296364,0.0
23,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,8,0,0,6,0,0,8,0,0,5,0,5,3,0,1,0.0,251749527.18812034,0.0,0.0,84600000.0,0.0,0.0,71486201.31783757,0.0
24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,0,0,6,0,1,9,0,0,4,3,6,0,0,1,1884422.2508003698,192648842.10872278,0.000602454644299127,2341280.1448882814,124969836.47849761,0.000602454644299127,0.0,87748617.2168823,0.0
25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,10,0,0,5,0,0,9,0,0,4,0,0,0,0,0,1884422.2508003698,235522027.03023222,0.000602454644299127,2341280.1448882814,30700346.1289035,0.000602454644299127,1884422.2508003698,346.12890350040476,0.000602454644299127
