,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
0,0.0,0,0.0,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,3869162.7563248565,0,0.0008561165538627823,0.0,40273672.383724004,0.0,0.0,638.6525108888484,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,3567393.479243909,0,0.0013438196299744168,236500000.0,487.3587471762362,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
1,0.0,0,0.0,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,512321.08028176887,0,0.00010031375846981549,3436914.1425685845,40273672.383724004,0.001103002632333599,0.0,472.71722007977206,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,3435419.314138949,0,0.0012909181229964195,236500000.0,470.3092868492376,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
2,0.0,0,0.0,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,386922.6983848175,0,9.047858329077737e-05,0.0,40273672.383724004,0.0,0.0,61.135535090244204,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,0.0,0,0.0,236500000.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
3,0.0,0,0.0,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,460046.4987287242,0,9.5166113224891e-05,0.0,40273672.383724004,0.0,0.0,62.0101552588175,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,0.0,0,0.0,236500000.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
4,0.0,0,0.0,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,432225.838303547,0,0.00010800095139685515,0.0,40273672.383724004,0.0,0.0,64.40493640866777,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,0.0,0,0.0,236500000.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
5,0.0,0,0.0,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,427163.0934484636,0,9.488423280135108e-05,0.0,40273672.383724004,0.0,0.0,61.95756075659153,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,0.0,0,0.0,236500000.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
6,119860450.0877065,0,0.03111630746252795,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,9616617.970812073,0,0.0017006357181419257,0.0,40273672.383724004,0.0,0.0,4632.433195093909,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,4139233.5672821812,9695195.36216505,0.0008524477238465681,0.0,0,0.0,236500000.0,637.9679642785119,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,4139233.5672821812,0,0.0008524477238465681,0.0,37130799.39948691,0.0,115300000.0,637.9679642785119
7,128851659.48681551,0,0.03111630746252795,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,3620775.9041069346,0,0.000620375396239011,0.0,40273672.383724004,0.0,0.0,3577.8758042969,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,458985.6092713607,9695195.36216505,0.00010636127709066913,30121728.545694143,0,0.011141781206547234,236500000.0,4242.188501591236,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,493415.94656040525,0,0.00010636127709066913,0.0,37130799.39948691,0.0,115300000.0,64.09899868917823
8,3631513.2196016945,0,0.0008137548134632346,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,0.0,0,0.0,0.0,40273672.383724004,0.0,0.0,78.98288096646611,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,0.0,0,0.0,236500000.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
9,138861583.398138,0,0.03111630746252795,0.0,73315450.27094865,0.0,0.0,37285037.900559425,0.0,0.0,0,0.0,0.0,40273672.383724004,0.0,0.0,3020.1426372758942,0.0,68139002.95605196,0.0,0.0,60528754.73767175,0.0,0.0,26559454.690911457,0.0,0.0,9695195.36216505,0.0,0.0,0,0.0,236500000.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,37130799.39948691,0.0,115300000.0,0.0
