,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,0.0,199.53095613592123,1.5,0.8959586225878802,314.268739545027,1.0,0.04548780955721295,80.79179898503888,10,0.1906618367195056,349.71883386681577,1.0,0.2898837456353364,306.57971780924186,10,0.2710735263466642,1.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Policy 0,dikesnet
1,105.0,36.78238334393506,1.5,0.028989712134634457,326.38197994192024,1.0,0.7648651024265024,346.04370754596596,10,0.07076862338878823,90.74749737758337,1.0,0.6986854992537931,242.76673161711346,1.0,0.7671722237093914,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Policy 0,dikesnet
2,130.0,179.81593365869605,10,0.019727950237284297,183.54721850247438,1.0,0.30598443905421585,126.68199200167963,10,0.05746810562966783,139.73345808673298,10,0.8882321003263571,107.21375341972008,1.0,0.7270489369063269,4.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Policy 0,dikesnet
3,97.0,259.1875048991915,1.0,0.4588278777789514,205.46012282196995,10,0.8675456078758673,92.50906383700611,1.5,0.23462938474225473,316.4946043909465,1.0,0.39200316703853677,211.35627153103545,10,0.5346398183264002,3.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Policy 0,dikesnet
4,68.0,32.83317127855613,1.5,0.07894648121893329,302.4328292500628,1.0,0.8336734695407456,325.64740616887883,10,0.3487432644392541,181.4486571826215,1.5,0.759684519072329,182.3331591054122,10,0.9835529035850766,2.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Policy 0,dikesnet
5,48.0,147.2413572532099,10,0.40848763564818347,114.24048710393807,10,0.8984338070063091,197.56723962610891,1.5,0.8974624026289895,172.20403359561513,1.0,0.7292878145376227,328.00528866243815,1.0,0.6123409986045403,2.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Policy 0,dikesnet
6,44.0,332.94010616659773,10,0.07497859266058075,182.4724653517698,10,0.5610643989276247,205.6722933228877,10,0.7996741174212922,210.086505192816,1.0,0.6352640863276243,219.08749558795938,10,0.692866536023963,4.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Policy 0,dikesnet
7,68.0,224.5555268727927,1.5,0.557240477326866,67.92100800792223,1.5,0.09048667487225788,284.7117634136192,10,0.09606963084253566,154.35033233175494,1.0,0.9238656012264767,202.1648081173014,10,0.04965389584427082,2.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Policy 0,dikesnet
8,102.0,145.72198879771656,10,0.22007216380940217,144.67151714586257,10,0.8993647955346965,143.59000293754409,1.5,0.10229837716344346,117.03150491273203,10,0.3144411430591217,166.75279953690196,1.0,0.3315670213461132,2.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Policy 0,dikesnet
9,104.0,276.87032959270465,10,0.6158014971561422,229.0951777936618,1.0,0.23273211979006217,93.5519592558779,1.0,0.7622641274340873,348.59406447445764,1.0,0.8686659697893007,319.2962506293718,1.5,0.27596202924577734,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Policy 0,dikesnet
