,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,99.0,291.6162726157322,1.0,0.48952882966306843,316.5524544913992,10,0.10108191564210037,211.52499582912554,10,0.7243300847657568,72.10409696284025,1.5,0.2878014904760972,247.06122567994788,10,0.04761905822803561,4.5,3.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,0,0,dikesnet
1,20.0,298.3448022451936,1.5,0.8761429553490778,202.78100873047916,1.5,0.3427233702855744,261.903886934954,10,0.07420821421534396,65.7405132606066,10,0.805184795848006,53.7762402917454,1.0,0.03773480955845089,1.5,3.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,1,0,dikesnet
2,130.0,343.2407112805512,1.0,0.21397207998218482,284.02972301277396,10,0.3047506898770176,187.64376775741727,1.0,0.8751404697390951,215.99584323632826,1.0,0.5917945562676493,143.97037252834056,1.0,0.3375687731417133,4.5,3.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,2,0,dikesnet
3,48.0,102.96766461049616,10,0.9752040185691887,34.125592469582955,10,0.4067180327319473,86.53296616687723,10,0.14958843204707764,68.43666575789162,1.5,0.5952108164113351,43.3768524933934,1.5,0.6105961614658029,2.5,3.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,3,0,dikesnet
4,123.0,41.82945459139654,1.0,0.5024769169754408,226.83268905716125,1.5,0.7769111654207886,310.5191329831273,1.0,0.3052312590308599,339.8680772895548,1.5,0.9168322524168547,97.63280400690128,10,0.6996783846244431,4.5,4.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,4,0,dikesnet
5,61.0,122.0528554335627,1.5,0.8749436830522577,347.66080209847627,10,0.42969129792545663,288.90974378735916,10,0.4846317570103386,80.5531042732822,1.0,0.5663430590190708,109.78673037992964,1.0,0.8102683300358196,3.5,3.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,5,0,dikesnet
6,127.0,45.87186923872554,10,0.036804239630154535,82.99672861875264,1.5,0.7588315938675043,232.68249447376715,1.5,0.7945098905183555,123.0384948248462,1.5,0.049197345770342585,298.6798642265523,1.5,0.7933068203334648,3.5,3.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,6,0,dikesnet
7,119.0,140.22308618750304,10,0.042400970269733614,244.4912637181552,1.0,0.7496435532540836,142.55065658296553,10,0.2847827769914408,214.49853833412755,10,0.1274397190456342,270.91007599597026,1.5,0.01944987624162806,2.5,3.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,7,0,dikesnet
8,131.0,293.50727718398736,10,0.14563510149408154,79.3704394789285,1.5,0.8614781125694643,193.75937173542397,1.5,0.2083938589593614,212.5884951179687,1.5,0.9079070794600937,151.12775958408164,1.0,0.839975498639575,1.5,4.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,8,0,dikesnet
9,2.0,121.25359240378002,10,0.04064088274404241,252.6103272997309,10,0.7866814348900292,184.56464021785513,1.5,0.8193959068301157,330.52009047360497,1.5,0.8717734342383663,172.01465229113046,1.0,0.9211625862869319,1.5,4.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,9,0,dikesnet
10,33.0,52.47128558301337,1.0,0.40781074261300054,284.4282111380621,1.0,0.28684640642756126,290.1725461546909,1.5,0.37892192883455383,90.3544363569951,1.0,0.5296943730800926,54.961789935174124,1.0,0.44606756584833224,2.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,10,0,dikesnet
11,6.0,63.44317537356426,1.5,0.42630714573451267,55.907933955322775,1.5,0.33214665510916136,240.97082845768514,10,0.37295410023500886,213.37601955130512,1.0,0.7407069152367011,320.9682822685163,10,0.2920992759960704,1.5,4.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,11,0,dikesnet
12,7.0,211.988085677246,1.0,0.953113798542318,319.65962460711575,10,0.989247318403323,322.09418070060514,1.5,0.7383950497133507,287.23076000432616,10,0.06339339852779005,163.81678314183492,10,0.724880826780112,3.5,3.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,12,0,dikesnet
13,100.0,148.09548652529986,10,0.9314383579328698,107.01699036662129,1.5,0.136509061219884,77.59345995117866,10,0.24567654090560667,258.186206286113,1.5,0.6603650909438651,161.89496383548396,10,0.4633734236783411,4.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,13,0,dikesnet
14,19.0,57.8184515935052,1.5,0.0711588617610116,341.7389179602212,1.0,0.9176356033519348,341.53124558568896,1.0,0.014916279092853228,226.54357950588988,1.5,0.8511075863975516,277.6598188129816,1.0,0.7633768261255529,3.5,2.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,14,0,dikesnet
15,8.0,60.950707154459536,1.5,0.9038591249376219,199.93644504244062,1.5,0.8867470298704054,163.9528613949159,1.5,0.6607730193907548,334.42956905093405,1.0,0.35671549501257094,266.6131794121848,1.0,0.774684530143591,4.5,2.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,15,0,dikesnet
16,32.0,337.9534409162891,1.5,0.8219495127084631,264.93230701103107,10,0.47677010855468205,207.25675116833588,1.5,0.6035433831302914,336.29792885741017,10,0.11954365733832191,31.202344923712467,1.0,0.4942383304497293,4.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,16,0,dikesnet
17,97.0,184.48739419630678,10,0.4440325524136606,213.69607097277674,1.0,0.7850744892201801,141.8163226972068,1.5,0.6641718841089872,159.98280593638518,1.5,0.14436473801000965,258.768032691795,1.0,0.2908130051084099,4.5,4.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,17,0,dikesnet
18,86.0,311.67524811607444,1.5,0.863507680926956,70.1887100355994,1.5,0.5930006318726108,190.01117862423584,1.0,0.8624972503440816,251.49166110265642,1.0,0.5841196355485457,56.92710133678897,10,0.8635318475339325,3.5,2.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,18,0,dikesnet
19,127.0,178.59330703205788,1.0,0.9656127660583512,144.57082802656635,10,0.8878875257993573,205.1437617516446,10,0.9075844436895817,264.30894347807623,1.0,0.5870522002651022,188.35231282692098,10,0.7382154281431041,1.5,2.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,19,0,dikesnet
20,63.0,260.79368963412725,1.5,0.20619215920746237,91.24317364592962,1.5,0.640138413437109,208.2932099121021,1.5,0.3373419251899517,250.42209518114436,1.5,0.4846416346146089,98.89324735018627,1.5,0.6906704757790294,3.5,1.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,20,0,dikesnet
21,7.0,72.53118660339356,10,0.533534463890284,99.37035694081356,1.0,0.20265011548069928,158.26333805493576,1.5,0.281776711890158,47.34954362176568,1.5,0.4069654264867249,269.62635163249774,1.5,0.49600293646406945,1.5,1.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,21,0,dikesnet
22,50.0,150.63585394438292,1.0,0.7933430879249213,174.12226627012524,1.0,0.7245475302410674,235.81113353631724,10,0.4188155910536197,64.15783193874773,10,0.7455013706517735,144.24128557770396,10,0.5571382877271389,2.5,3.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,22,0,dikesnet
23,56.0,191.70681857789788,1.0,0.2543335691873307,288.24885263205107,1.5,0.6354066814435706,47.544738149802996,1.0,0.43760397142549917,263.65965322658235,1.5,0.8548735924116383,162.19997027322054,10,0.9791002885534109,2.5,2.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,23,0,dikesnet
24,93.0,306.69370385370087,10,0.1105441824715969,105.14490040039495,10,0.6266329249357653,212.763050799045,10,0.23859564797002783,105.94861094175182,1.5,0.8416124615143797,163.36530220218333,1.5,0.6055534594034634,4.5,3.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,24,0,dikesnet
25,20.0,230.30406719866417,1.5,0.5895147083210053,239.65508647660386,10,0.6663078313909238,94.24397264375028,1.5,0.9541178300359803,110.41552287848808,1.5,0.9716192020397129,186.64116087113848,1.0,0.790965985616829,4.5,2.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,25,0,dikesnet
26,37.0,310.373860045897,1.0,0.8336922895166027,142.06668447172518,1.0,0.4708477091781064,110.05672589389258,10,0.1873032128625611,296.4528148774882,1.5,0.29828320640614614,33.93264818216353,1.5,0.23079358075600048,4.5,4.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,26,0,dikesnet
27,11.0,337.37101383383634,10,0.699290291414285,97.35109043307106,10,0.6466234174477861,198.35896344935324,10,0.3140308478663088,262.0045223014174,1.5,0.8861120283115524,185.85012712762423,1.0,0.9904418259075476,1.5,1.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,27,0,dikesnet
28,90.0,128.98463795901108,10,0.41924615219662764,110.05671846708546,1.0,0.19555042705234266,231.66111959362243,1.0,0.4342560811939751,172.05506130139068,1.5,0.4046052746164707,286.57064275849314,1.5,0.3097891358083858,4.5,3.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,28,0,dikesnet
29,22.0,56.97758470048991,1.5,0.5577058043329455,84.2172738845171,1.0,0.5376212409130848,327.0301329879519,1.0,0.6286455505772853,101.58970436447456,10,0.0772440613772175,338.06134663152875,10,0.40117905294825024,2.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,29,0,dikesnet
30,99.0,33.85229658448301,1.0,0.5161920847355692,33.83299295801075,10,0.07788587510965204,182.83051806547255,1.5,0.08978397718003232,335.45641931859535,1.5,0.9128719416794818,149.3102389756524,1.0,0.3855795485220592,3.5,1.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,30,0,dikesnet
31,28.0,169.11577805740413,1.5,0.3881771177244372,112.35555878341385,1.0,0.43426824339799386,301.92566360935723,1.0,0.0415575293267906,224.01593684901098,1.0,0.23186973997718915,143.27461718905437,1.0,0.05332173558357984,4.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,31,0,dikesnet
32,124.0,288.7266195986398,10,0.6632310279279656,279.653233853734,1.5,0.6594732621806524,150.2818665039806,10,0.1328756629450738,217.53902332302658,10,0.2626584269024681,108.40843802802978,1.0,0.35467845840682577,1.5,1.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,32,0,dikesnet
33,81.0,97.32357771047467,10,0.30488163685459224,37.68808606369126,1.0,0.8109552579283921,232.27078630709255,1.0,0.2941349545717409,249.67232954949708,1.5,0.6409945043751262,131.72253149984078,1.0,0.18680862121837108,4.5,1.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,33,0,dikesnet
34,61.0,79.27218018034051,10,0.9435462121479832,263.39213955673455,1.5,0.7943446358651406,81.91516936343947,1.0,0.8263912228012296,349.7765496413229,1.5,0.590377864693417,41.948935899999626,1.0,0.670323928110705,4.5,2.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,3.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,34,0,dikesnet
